timestamp,target,hour,timeId,dayOfWeek,isWeekend,is_anomaly
2024-04-01 00:00:00,103.56,0,0,0,0,1
2024-04-01 00:01:00,44.28,0,0,0,0,1
2024-04-01 00:02:00,111.97,0,0,0,0,1
2024-04-01 00:03:00,104.66,0,0,0,0,1
2024-04-01 00:04:00,110.24,0,0,0,0,1
2024-04-01 00:05:00,106.03,0,0,0,0,1
2024-04-01 00:06:00,108.58,0,0,0,0,1
2024-04-01 00:07:00,44.13,0,0,0,0,1
2024-04-01 00:08:00,40.07,0,0,0,0,1
2024-04-01 00:09:00,119.22,0,0,0,0,1
2024-04-01 00:10:00,101.64,0,0,0,0,1
2024-04-01 00:11:00,45.33,0,0,0,0,1
2024-04-01 00:12:00,118.79,0,0,0,0,1
2024-04-01 00:13:00,48.06,0,0,0,0,1
2024-04-01 00:14:00,114.45,0,0,0,0,1
2024-04-01 00:15:00,40.94,0,0,0,0,1
2024-04-01 00:16:00,113.89,0,0,0,0,1
2024-04-01 00:17:00,105.87,0,0,0,0,1
2024-04-01 00:18:00,41.76,0,0,0,0,1
2024-04-01 00:19:00,117.55,0,0,0,0,1
2024-04-01 00:20:00,107.14,0,0,0,0,1
2024-04-01 00:21:00,48.45,0,0,0,0,1
2024-04-01 00:22:00,105.33,0,0,0,0,1
2024-04-01 00:23:00,108.78,0,0,0,0,1
2024-04-01 00:24:00,111.66,0,0,0,0,1
2024-04-01 00:25:00,103.92,0,0,0,0,1
2024-04-01 00:26:00,117.47,0,0,0,0,1
2024-04-01 00:27:00,101.08,0,0,0,0,1
2024-04-01 00:28:00,106.88,0,0,0,0,1
2024-04-01 00:29:00,108.18,0,0,0,0,1
2024-04-01 00:30:00,103.55,0,0,0,0,1
2024-04-01 00:31:00,107.91,0,0,0,0,1
2024-04-01 00:32:00,118.35,0,0,0,0,1
2024-04-01 00:33:00,109.44,0,0,0,0,1
2024-04-01 00:34:00,112.91,0,0,0,0,1
2024-04-01 00:35:00,46.94,0,0,0,0,1
2024-04-01 00:36:00,104.08,0,0,0,0,1
2024-04-01 00:37:00,109.01,0,0,0,0,1
2024-04-01 00:38:00,101.83,0,0,0,0,1
2024-04-01 00:39:00,116.36,0,0,0,0,1
2024-04-01 00:40:00,106.65,0,0,0,0,1
2024-04-01 00:41:00,111.99,0,0,0,0,1
2024-04-01 00:42:00,104.21,0,0,0,0,1
2024-04-01 00:43:00,109.88,0,0,0,0,1
2024-04-01 00:44:00,114.28,0,0,0,0,1
2024-04-01 00:45:00,117.77,0,0,0,0,1
2024-04-01 00:46:00,112.67,0,0,0,0,1
2024-04-01 00:47:00,119.12,0,0,0,0,1
2024-04-01 00:48:00,108.81,0,0,0,0,1
2024-04-01 00:49:00,116.97,0,0,0,0,1
2024-04-01 00:50:00,107.24,0,0,0,0,1
2024-04-01 00:51:00,110.93,0,0,0,0,1
2024-04-01 00:52:00,108.75,0,0,0,0,1
2024-04-01 00:53:00,105.41,0,0,0,0,1
2024-04-01 00:54:00,114.02,0,0,0,0,1
2024-04-01 00:55:00,116.44,0,0,0,0,1
2024-04-01 00:56:00,101.05,0,0,0,0,1
2024-04-01 00:57:00,106.98,0,0,0,0,1
2024-04-01 00:58:00,113.25,0,0,0,0,1
2024-04-01 00:59:00,112.79,0,0,0,0,1
2024-04-02 00:00:00,117.69,0,0,1,0,1
